Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_1,0.0035242756552636726,0.018024208024144173,0.029093977063894272,0.39606298283471597,0.002609600244342728,0.05062106251716614,0.03134677931666374
0.05,Client_2,0.004768121086757213,0.014272981323301792,0.05378396489790508,0.0014128218591617262,0.0006668430893898654,0.05326520651578903,0.029370713979005814
0.05,Client_3,0.0031665848830001826,0.014726837165653706,0.03098559326359204,23.076801249881893,0.05427070543558425,0.05379799008369446,0.02995063178241253
0.05,Client_1,0.0034087273085204005,0.013012481853365898,0.028488774318248034,2359.580327882201,0.9450624414750259,0.0519561842083931,0.031796008348464966
0.05,Client_1,0.003299384683155992,0.013879945501685143,0.02368590408670051,15.115394708746486,0.002425009657979234,0.0521075464785099,0.03166656941175461
0.05,Client_2,0.004351083728277132,0.014292101375758648,0.04535502115530627,0.00016994634062267994,0.0006662841987303511,0.05339658260345459,0.029251553118228912
0.05,Client_3,0.0030720444847230303,0.013213026337325573,0.03074629238939711,27730.87670652155,0.9969086961432905,0.053816184401512146,0.02977747842669487
0.05,Client_3,0.003048725190576886,0.014783496968448162,0.03178279820297446,7.704402665313729,0.05151031336765162,0.053951408714056015,0.029978865757584572
0.05,Client_2,0.004381083910762375,0.014460754580795765,0.045369893844638555,0.0015697705873852139,0.0006675953467432251,0.052512265741825104,0.03200225904583931
0.05,Client_1,0.003496157867756892,0.01362214982509613,0.02370085520669818,1127.480580687381,0.9478220812856053,0.05366332828998566,0.029392732307314873
0.05,Client_3,0.003037896769706022,0.014964870177209377,0.038279636829559295,23.95774913997326,0.9544967643156784,0.05181644484400749,0.030974602326750755
0.05,Client_2,0.004257632466004905,0.014117786660790443,0.04596156467284475,0.5065659444915795,0.01989581789085217,0.053324393928050995,0.028867991641163826
0.05,Client_1,0.0032946828407745565,0.015346185304224491,0.01945626230112144,0.6243642981547414,0.025607407793469567,0.05369475111365318,0.029089845716953278
0.05,Client_2,0.004019728235392701,0.014728819951415062,0.04498236533254385,0.02438772813555218,0.0006667405697522146,0.05364543944597244,0.02954268269240856
0.05,Client_3,0.0030649329572338536,0.012880930677056313,0.026909398513713052,50250.863159771565,0.9974178599033559,0.051894351840019226,0.03139786794781685
0.05,Client_1,0.003325606744590761,0.017754072323441505,0.02301698231271335,0.4862545874035533,0.0019153895268920736,0.05334426462650299,0.02907499112188816
0.05,Client_3,0.0030267377305800832,0.015314756892621517,0.02412090397306851,1031.4686376890425,0.9967957858199324,0.05310463160276413,0.03027728945016861
0.05,Client_1,0.003440233295844424,0.016427703201770782,0.027012476897133247,0.1780999256332254,0.0020705089260433527,0.050300177186727524,0.03148617595434189
0.05,Client_2,0.004115740029077044,0.013812936842441559,0.04414353599505765,0.5065681862620733,0.0011336952540243698,0.052412889897823334,0.02964753285050392
0.05,Client_3,0.0029982645925907725,0.012069815769791603,0.03791116976312229,14459.182235539694,0.9973478189230973,0.05118382349610329,0.03401646390557289
