Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_2,0.0034663521915098356,0.013789610005915165,0.2582963930726692,6.104913912257011,0.9499221995099668,0.08188561350107193,0.05530800670385361
0.05,Client_1,0.003092121636126633,0.013828182592988014,0.5402510601361348,0.8453920785737495,0.06999434190715781,0.07324633747339249,0.05277450382709503
0.05,Client_3,0.002528282309540427,0.019685881212353706,2.394392068783248,0.018737986832384076,0.04655575883542352,0.07644356042146683,0.05133667588233948
0.05,Client_2,0.0030261293974850056,0.012058287858963013,0.2344723944873131,10.960762981786507,0.8834498892574187,0.07882453501224518,0.05530984327197075
0.05,Client_1,0.0028809156501554568,0.013708353042602539,0.521220988487787,5.069278983387412,0.43323387352346976,0.0714971274137497,0.04697738215327263
0.05,Client_3,0.0024984721230237377,0.015245426446199417,2.357550127344339,0.01873865184670636,0.046641003073844785,0.07354656606912613,0.05092413350939751
0.05,Client_2,0.0031335304663571615,0.013187803328037262,0.2242200084956932,6.105060623952919,0.5201251134026857,0.06877468526363373,0.04845057427883148
0.05,Client_3,0.0025184124586126845,0.01587666943669319,2.3242056415711683,0.01873842528243697,0.04512913244400165,0.06528232991695404,0.045264214277267456
0.05,Client_1,0.002686945380874098,0.015813639387488365,0.5620316986769723,0.0004597376351511902,0.0019081988823453004,0.06755732744932175,0.04366634413599968
0.05,Client_2,0.0025667114620930034,0.013137566857039928,0.23855375581278254,216.19903559193247,0.9529626586736532,0.06918583065271378,0.047505103051662445
0.05,Client_1,0.0029866923937274838,0.01519752386957407,0.485118702771879,0.0004070325307947,0.0019097004829051883,0.06447915732860565,0.04051089659333229
0.05,Client_2,0.0027200548925237545,0.012921684421598911,0.2087766967020847,86.71854155883835,0.7520141592957166,0.06557372957468033,0.044225286692380905
0.05,Client_3,0.002484281821524927,0.013576795347034931,2.2804738067299124,23.202285591632762,0.24607613022137845,0.06231290474534035,0.04203331470489502
0.05,Client_3,0.0024537802576241837,0.0169522687792778,2.2083440698608814,0.04126209129727784,0.05143524819685731,0.06116744503378868,0.0387197881937027
0.05,Client_1,0.002720930327558856,0.017061304301023483,0.5110863888577858,0.004688926719874055,0.002632165350262587,0.05954543128609657,0.04032454639673233
0.05,Client_2,0.0029925051431209304,0.015679949894547462,0.21467179487026822,6.105146573704926,0.9459325764528803,0.06146714463829994,0.042048875242471695
